EmployeeID,FirstName,LastName,JobTitle,EmailAddress,City,StateProvinceName,CountryRegionName
1,FirstName,LastName,Janitor,lionel1@adventure-works.com,Pantin,Saône (Haute),France
2,Pat,Coleman,Facilities Administrative Assistant,elizabeth3@adventure-works.com,Sèvres,Saône et Loire,France
3,Takiko,Collins,Chief Financial Officer,john26@adventure-works.com,Paris,Sarthe,France
4,John,Colon,Human Resources Manager,jonathan1@adventure-works.com,Roissy en Brie,Savoie,France
5,Scott,Colvin,Human Resources Administrative Assistant,tina1@adventure-works.com,Les Ulis,Savoie Haute,France
6,Aaron,Con,Human Resources Administrative Assistant,james13@adventure-works.com,Drancy,Seine (Paris),France
7,Peter,Connelly,Recruiter,glin0@adventure-works.com,Saint Ouen,Seine Maritime,France
8,William,Conner,Benefits Specialist,sara1@adventure-works.com,Les Ulis,Seine et Marne,France
9,Stephanie,Conroy,Recruiter,carol3@adventure-works.com,Saint-Denis,Yveline,France
10,Amy,Consentino,Accounts Manager,patricia1@adventure-works.com,Paris,Sèvres (Deux),France
